//Note: These were mainly made for RetroAchievements so they might not fit other purposes.
//Intended for Master Quest but likely works for regular Paper Mario too, though MQ has extra rooms.

Area & Map IDs work in the following way: The first 2 symbols are the Area ID, the last 2 are the Map ID. So 1308 is a Area ID of 13 and a Map ID of 08.
+------+------+----- - -  -  -   -    -
|Battle|Area &| Boss
|  ID  |Map ID| Name
+------+------+----- - -  -  -   -    -
| 0202 | 0003 | Jr Troopa (Prologue, near Goomba Village)
| 0100 | 0006 | Red & Blue Goomba
| 0101 | 0009 | Goomba King
| 0403 | 0500 | Kamek (tutorial fight at Shooting Star Summit)
| 0700 | 070a | Koopa Bros.
| 0203 | 0604 | Jr Troopa (Ch1, Koopa Road)
| 090d | 0800 | Whacka
| 090c | 0804 | Buzzar
| 0c00 | 0b0e | Tutankoopa
| 0d0c | 0c0a | Boo Trial
| 0f0b | 0f0d | Mega Rush badge fight (in Tubba's castle)
| 0204 | 0c06 | Jr Troopa (Ch3, Forever Forest)
| 1b00 | xxxx | Blooper (Area&Map ID; 3 pipe room: 0x0200, Yoshi's Island pipe room: 0x0207, Shrink Stomp room: 0x0201)
| 0f04 | xxxx | Invincible Tubba Blubba (Area&Map ID; 0x0f0f (initial room, all following are during the escape), 0x0f12 (if you go back into his room, lmao), 0x0f01, 0x0f08)
| 0e0f | 0e08 | Tubba's Heart
| 0e10 | 0e04 | Tubba Blubba
| 1200 | 100b | Big Lantern Ghost
| 1100 | 100e | General Guy
| 1300 | 0301 | Fuzzipede
| 0205 | 0106 | Jr Troopa (Ch5, Toad Town Harbor)
| 1500 | 1115 | Raphael the Raven
| 1700 | 120d | Lava Piranha
| 1905 | 1308 | Lakilester
| 1906 | 1308 | Lakilester & Lakilulu
| 1b01 | xxxx | Electric Blooper (Area&Map ID; 3 pipe room: 0x0200, Yoshi's Island pipe room: 0x0207, Shrink Stomp room: 0x0201)
| 1b02 | xxxx | Super Blooper (Area&Map ID; 3 pipe room: 0x0200, Yoshi's Island pipe room: 0x0207, Shrink Stomp room: 0x0201)
| 1c0a | 0215 | Anti Blooper
| 4200 | 130f | Huff N Puff
| 1e00 | 1404 | Monstar
| 0206 | 1402 | Jr Troopa (Ch7, Shiver Snowfield)
| 2000 | 1517 | Crystal King
| 0207 | 161c | Jr Troopa (Ch8, Bowser's Castle)
| 2301 | 0407 | Hallway Bowser (Tutorial)
| 2302 | 0407 | Hallway Bowser (Before Finale)
| 2303 | 0413 | Final Bowser (phase 1)
| 2600 | 0413 | Kammy Koopa (in the final fight)
| 2304 | 0413 | Final bowser (phase 2)
| 0300 | 0101 | Chan
| 0301 | 0101 | Lee
| 0302 | 0101 | Master 1
| 0303 | 0101 | Master 2
| 0304 | 0101 | Master 3
| 040d | 050d | Master 4
| 0518 | 0604 | Kent C. Koopa
| 1206 | 100c | Anti Squad
| 0515 | 0013 | Koopa Koot
| 0801 | 0034 | Disastar
| 3100 | 050b | Goomba King (refight)
| 3200 | 050b | Koopa Bros. (refight)
| 3300 | 050b | Tutankoopa (refight)
| 3400 | 050b | Tubba Blubba (refight)
| 3500 | 050b | General Guy (refight)
| 3600 | 050b | Lava Piranha (refight)
| 3700 | 050b | Huff N Puff (refight)
| 3800 | 050b | Crystal King (refight)
| 3900 | 050b | Giga Bowser
| 0802 | 0035 | Pit F100, Illusion Peach & Illusion Twink
+------+------+----- - -  -  -   -    -

+------+-----+------------ - -  -  -   -    -
|Area &|     | Area
|Map ID|Hack | Name
+------+-----+------------ - -  -  -   -    -
| 000b |     | Mario's House
| 1700 |     | Outside Peach's Castle (when whole - used in Intro & Finale)
| 0101 |     | Toad Town, Main Gate Square
| 0102 |     | Toad Town, North Plaza
| 0103 |     | Toad Town, South Plaza
| 1701 |     | Toad Town, Outside Peach's Castle
| 0105 |     | Toad Town, Residential District
| 0106 |     | Toad Town, Harbor
| 0104 |     | Toad Town, Train Station
| 1900 |     | Playroom Lobby
| 1901 |     | Playroom, Jump Attack
| 1902 |     | Playroom, Smash Attack
| 0205 |     | Toad Town Tunnels
| 020e |     | Toad Town Tunnels
| 0201 |     | Toad Town Tunnels
| 0200 |     | Toad Town Tunnels
| 0202 |     | Toad Town Tunnels
| 0203 |     | Toad Town Tunnels
| 0204 |     | Toad Town Tunnels
| 0206 |     | Toad Town Tunnels
| 020a |     | Toad Town Tunnels
| 0207 |     | Toad Town Tunnels
| 0208 |     | Toad Town Tunnels
| 0209 |     | Toad Town Tunnels
| 0210 |     | Toad Town Tunnels
| 0211 |     | Toad Town Tunnels
| 020b |     | Toad Town Tunnels
| 020c |     | Toad Town Tunnels
| 0213 |     | Toad Town Tunnels
| 0214 |     | Toad Town Tunnels
| 0215 |     | Toad Town Tunnels
| 0212 |     | Toad Town Tunnels
| 020d |     | Toad Town Tunnels
| 020f |     | Toad Town Tunnels
| 0400 |     | Peach's Castle Lower Lobby (Intro & Finale)
| 040d |     | Peach's Castle Kitchen
| 0401 |     | Peach's Castle, Upper Lobby (Intro)
| 0408 |     | Peach's Castle, Peach's Room
| 0416 |     | Peach's Castle, behind the furnace
| 0402 |     | Peach's Castle Staircase to Hallway (Intro)
| 0403 |     | Peach's Castle Hallway (Intro)
| 0407 |     | Peach's Castle Hallway
| 0409 |     | Peach's Castle, Diary Room
| 0414 |     | Peach's Castle, Peach's Balcony
| 0405 |     | Peach's Castle, Upper Lobby
| 040a |     | Peach's Castle, Library
| 040c |     | Peach's Castle, Dining Room
| 040b |     | Peach's Castle, Storage Room
| 0404 |     | Peach's Castle, Lower Lobby
| 040f |     | Peach's Castle, Quiz Room (no quiz present)
| 0418 |     | Peach's Castle, Quiz Room (with quiz show)
| 040e |     | Peach's Castle, Guest Room
| 0406 |     | Peach's Castle, Hallway
| 1702 |     | Peach's Castle, outside above Bowser's Castle
| 0410 |     | Peach's Castle, Staircase
| 0411 |     | Peach's Castle, bridge
| 0412 |     | Peach's Castle, final staircase
| 0413 |     | above Peach's Castle
| 1704 |     | Outside Peach's Castle (Castle crashing cutscene, Intro)
| 1703 |     | Bowser & Peach's Castle in Galaxy (cutscene)
| 0507 |     | Mario falling down to earth (Intro & Finale Cutscene)
| 000c |     | Game Logo (Intro, after falling down)
| 000d |     | Chapter Opening
| 000f |     | Save-Screen after chapter
| 0000 |     | Mario's Landing Spot near Goomba Village
| 0001 |     | Goomba Village
| 0002 |     | behind Goomba Village
| 0003 |     | Jr. Troopa's Playground
| 0004 |     | woods behind Goomba Village
| 0007 |     | Goomba Road
| 0005 |     | Goomba Road
| 0006 |     | Goomba Road
| 000a |     | Goomba Road
| 0009 |     | Goomba King's "Fortress"
| 0014 | MQ  | Goomba Road
| 0008 |     | Goomba Road
| 0013 | MQ  | abandoned house near Toad Town
| 0011 | MQ  | outside the Ancient Tomb
| 0012 | MQ  | Ancient Tomb
| 0015 | MQ  | Ancient Tomb
| 001c | MQ  | Ancient Tomb
| 001b | MQ  | Ancient Tomb
| 0017 | MQ  | Ancient Tomb
| 0016 | MQ  | Ancient Tomb
| 0018 | MQ  | Ancient Tomb
| 0500 |     | Shooting Star Summit
| 0506 |     | Shooting Star Summit, Donluvlee's house
| 0509 | MQ  | Shooting Star Summit
| 0501 |     | atop Shooting Star Summit
| 050a | MQ  | Shooting Star Summit, outside Star Temple
| 050b | MQ  | Star Temple
| 050c | MQ  | Shooting Star Summit
| 050e | MQ  | Shooting Star Summit
| 050d | MQ  | Shooting Star Summit (Masters room)
| 0604 |     | Pleasant Path
| 0605 |     | Pleasant Path
| 0606 |     | Pleasant Path
| 0600 |     | Koopa Village
| 0601 |     | Koopa Village
| 0602 |     | behind Koopa Village
| 0603 |     | behind Koopa Village
| 0607 |     | Pleasant Path
| 0608 |     | Pleasant Path
| 0700 |     | Outside Koopa Bros. Fortress
| 0701 |     | Koopa Bros. Fortress
| 0702 |     | Koopa Bros. Fortress
| 0703 |     | Koopa Bros. Fortress
| 0704 |     | Koopa Bros. Fortress
| 0706 |     | Koopa Bros. Fortress, Jail
| 0707 |     | Koopa Bros. Fortress
| 0708 |     | Koopa Bros. Fortress
| 0705 |     | Koopa Bros. Fortress
| 0709 |     | atop Koopa Bros. Fortress
| 070a |     | Koopa Bros. Fortress
| 000e |     | End of Chapter!!
| 0806 |     | Train Track between Toad Town & Mt. Rugged
| 0805 |     | Mt. Rugged, Train Station
| 0800 |     | Mt. Rugged
| 0801 |     | Mt. Rugged
| 0802 |     | Mt. Rugged
| 0804 |     | Mt. Rugged
| 0803 |     | Mt. Rugged
| 0a31 |     | Mt. Rugged
| 0a00 |     | Dry Dry Desert (A1)
| 0a07 |     | Dry Dry Desert (A2)
| 0a0e |     | Dry Dry Desert (A3)
| 0a15 |     | Dry Dry Desert (A4)
| 0a1c |     | Dry Dry Desert (A5)
| 0a23 |     | Dry Dry Desert (A6)
| 0a2a |     | Dry Dry Desert (A7)
| 0a01 |     | Dry Dry Desert (B1)
| 0a08 |     | Dry Dry Desert (B2)
| 0a0f |     | Dry Dry Desert (B3)
| 0a16 |     | Dry Dry Desert (B4)
| 0a1d |     | Dry Dry Desert (B5)
| 0a24 |     | Dry Dry Desert (B6)
| 0a2b |     | Dry Dry Desert (B7)
| 0a02 |     | Dry Dry Desert (C1)
| 0a09 |     | Dry Dry Desert (C2)
| 0a10 |     | Dry Dry Desert (C3)
| 0a17 |     | Dry Dry Desert (C4)
| 0a1e |     | Dry Dry Desert (C5)
| 0a25 |     | Dry Dry Desert (C6)
| 0a2c |     | Dry Dry Desert (C7)
| 0a03 |     | Dry Dry Desert (D1)
| 0a0a |     | Dry Dry Desert (D2)
| 0a11 |     | Dry Dry Desert (D3)
| 0a18 |     | Dry Dry Desert (D4)
| 0a1f |     | Dry Dry Desert (D5)
| 0a26 |     | Dry Dry Desert (D6)
| 0a2d |     | Dry Dry Desert (D7)
| 0a04 |     | Dry Dry Desert (E1)
| 0a0b |     | Dry Dry Desert (E2)
| 0a12 |     | Dry Dry Desert (E3)
| 0a19 |     | Dry Dry Desert (E4)
| 0a20 |     | Dry Dry Desert (E5)
| 0a27 |     | Dry Dry Desert (E6)
| 0a2e |     | Dry Dry Desert (E7)
| 0a05 |     | Dry Dry Desert (F1)
| 0a0c |     | Dry Dry Desert (F2)
| 0a13 |     | Dry Dry Desert (F3)
| 0a1a |     | Dry Dry Desert (F4)
| 0a21 |     | Dry Dry Desert (F5)
| 0a28 |     | Dry Dry Desert (E7)
| 0a2f |     | Dry Dry Desert (E7)
| 0a06 |     | Dry Dry Desert (G1)
| 0a0d |     | Dry Dry Desert (G2)
| 0a14 |     | Dry Dry Desert (G3)
| 0a1b |     | Dry Dry Desert (G4)
| 0a22 |     | Dry Dry Desert (G5)
| 0a29 |     | Dry Dry Desert, Oasis (G6)
| 0a30 |     | Dry Dry Desert (G7)
| 0e0c | MQ  | Between Dry Dry Desert & Gusty Gulch
| 0e0b | MQ  | Between Dry Dry Desert & Gusty Gulch
| 0900 |     | Dry Dry Outpost
| 0901 |     | Dry Dry Outpost
| 0b00 |     | Dry Dry Ruins
| 0b01 |     | Dry Dry Ruins
| 0b02 |     | Dry Dry Ruins
| 0b03 |     | Dry Dry Ruins
| 0b05 |     | Dry Dry Ruins
| 0b04 |     | Dry Dry Ruins
| 0b06 |     | Dry Dry Ruins
| 0b07 |     | Dry Dry Ruins
| 0b08 |     | Dry Dry Ruins
| 0b0a |     | Dry Dry Ruins
| 0b0b |     | Dry Dry Ruins
| 0b09 |     | Dry Dry Ruins
| 0b0d |     | Dry Dry Ruins
| 0b0f |     | Dry Dry Ruins
| 0b0c |     | Dry Dry Ruins
| 0b10 |     | Dry Dry Ruins
| 0b0e |     | Dry Dry Ruins
| 0c09 |     | entrance of Forever Forest
| 0c00 |     | Forever Forest
| 0c01 |     | Forever Forest
| 0c02 |     | Forever Forest
| 0c03 |     | Forever Forest
| 0c04 |     | Forever Forest
| 0c07 |     | Forever Forest
| 0c05 |     | Forever Forest
| 0c06 |     | Forever Forest
| 0c08 |     | Forever Forest
| 0c0a |     | outside Boo's Mansion
| 0d00 |     | Boo's Mansion
| 0d07 |     | Boo's Mansion
| 0d06 |     | Boo's Mansion
| 0d01 |     | Boo's Mansion
| 0d02 |     | Boo's Mansion
| 0d03 |     | Boo's Mansion
| 0d04 |     | Boo's Mansion
| 0d05 |     | Boo's Mansion
| 0d08 |     | Boo's Mansion
| 0c0b |     | Gusty Gulch
| 0e04 |     | Gusty Gulch, outside Windmill
| 0e01 |     | Gusty Gulch Settlement
| 0e03 |     | Gusty Gulch Settlement
| 0e00 |     | Gusty Gulch
| 0e02 |     | Gusty Gulch
| 0f00 |     | outside Tubba Blubba's Castle
| 0f01 |     | Tubba Blubba's Castle
| 0f02 |     | Tubba Blubba's Castle
| 0f0b |     | Tubba Blubba's Castle
| 0f07 |     | Tubba Blubba's Castle
| 0f03 |     | Tubba Blubba's Castle
| 0f05 |     | Tubba Blubba's Castle
| 0f06 |     | Tubba Blubba's Castle
| 0f04 |     | Tubba Blubba's Castle
| 0f08 |     | Tubba Blubba's Castle
| 0f09 |     | Tubba Blubba's Castle
| 0f0a |     | Tubba Blubba's Castle
| 0f0c |     | Tubba Blubba's Castle
| 0f0d |     | Tubba Blubba's Castle
| 0f0e |     | Tubba Blubba's Castle
| 0f0f |     | Tubba Blubba's Castle
| 0f10 |     | Tubba Blubba's Castle
| 0f11 |     | Tubba Blubba's Castle
| 0e05 |     | Gusty Gulch Windmill
| 0e06 |     | Gusty Gulch Windmill
| 0e07 |     | Gusty Gulch Windmill
| 0e09 |     | Gusty Gulch Windmill
| 0e0a |     | Gusty Gulch Windmill
| 0e08 |     | Gusty Gulch Windmill
| 1002 |     | Shy Guy's Toybox, Blue Station
| 100c |     | Shy Guy's Toybox, Blue Station
| 1011 | MQ  | Shy Guy's Toybox, Blue Station
| 1000 |     | Shy Guy's Toybox, Blue Station
| 1003 |     | Shy Guy's Toybox, Blue Station
| 100f |     | Shy Guy's Toybox, Train Tracks
| 1005 |     | Shy Guy's Toybox, Pink Station
| 1006 |     | Shy Guy's Toybox, Pink Station
| 1010 |     | Shy Guy's Toybox, Pink Station
| 1004 |     | Shy Guy's Toybox, Pink Station
| 1007 |     | Shy Guy's Toybox, Green Station
| 1008 |     | Shy Guy's Toybox, Green Station
| 1009 |     | Shy Guy's Toybox, Red Station
| 100a |     | Shy Guy's Toybox, Red Station
| 100b |     | Shy Guy's Toybox, Red Station
