//Note: These were mainly made for RetroAchievemnts, it might not fit other purposes

+------+------+------ - -  -  -   -    -
|Battle| Stage|      (found at 0x33c576 in EU version)
|  ID  |  ID  | Name
+------+------+------ - -  -  -   -    -
| 5000 | 0014 | Baby Bowser (tutorial in the past)
| 5001 | 0092 | Junior Shrooboid (tutorial in the present)
| 600f | 0084 | Shroobs (M&L fucking die in Hollijolli Village)
| 5003 | 0084 | Two Shroobs (babies in Hollijolli Village)
| 6006 | 0040 | Hammer Bros.
| 5005 | 0043 | Spiny Shroopa (hammer tutorial)
| 600c | 0050 | Swiggler
| 7007 | 006f | Kamek
| 2000 | 00db | Sunnycide
| 8008 | 0239 | Shrooboid Brat
| 8014 | 0132 | Petey Piranha
| 2008 | 0158 | Mrs. Thwomp
| 2012 | 0196 | Bowser Duo
| 201b | 0167 | Commander Shroob
| 2027 | 01cc | Elder Shrooboid
| 9016 | 0225 | Younger Princess Shroob
| 2028 | 0247 | Elder Princess Shroob
| 2029 | 0095 | Shrowser
+------+------+------ - -  -  -   -    -

+------+------ - -  -  -   -    -
| Area |      (found at 0x209c80 in EU version)
|  ID  | Name
+------+------ - -  -  -   -    -
| 0010 |Intro cutscene
| 0011 |Intro cutscene
| 0013 |Peach's Castle (Past)
| 0014 |Peach's Castle (Past)
| 0016 |Peach's Castle (Past) Shroob Attack Cutscene
| 0018 |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 0019 |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 001a |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 001b |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 001c |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 001d |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 001e |TV Show Intro Cutscene | counts as Peach's Castle (Present)
| 0092 |Peach's Castle Main Hall
| 0093 |Peach's Castle Main Hall
| 0096 |Peach's Castle 1st floor
| 0097 |Peach's Castle 1st floor
| 0098 |Peach's Castle 1st floor
| 0099 |Peach's Castle, Shroom Shop
| 009a |Peach's Castle 1st floor
| 009b |Peach's Castle 1st floor (garden out back)
| 009c |Peach's Castle 1st floor
| 009d |Peach's Castle 1st floor
| 009e |Peach's Castle Garden
| 009f |Peach's Castle Garden
| 00a2 |Peach's Castle Garden
| 00a3 |Peach's Castle Garden
| 00a4 |Peach's Castle 1st floor
| 00a5 |Peach's Castle Guest Room (?)
| 00a6 |Peach's Castle, Toadsworth's Room
| 00a7 |Peach's Castle 2nd floor
| 00a8 |Peach's Castle, Library
| 00a9 |Peach's Castle 2nd floor
| 00aa |Peach's Castle 2nd floor
| 00ab |Peach's Castle 2nd floor
| 00ac |Peach's Castle, Princess Peach's Room
| 00ad |Peach's Castle, long staircase
| 00ae |Peach's Castle, Viewing Platform
| 00af |Peach's Castle 2nd floor
| 00b0 |Peach's Castle 2nd floor
| 00b1 |Peach's Castle 3rd floor
| 00b2 |Peach's Castle 3rd floor
| 00b3 |Peach's Castle 3rd floor
| 00b4 |Peach's Castle 3rd floor
| 00b5 |Peach's Castle Underground
| 00b6 |Peach's Castle Underground
| 00b7 |Peach's Castle Underground
| 00b8 |Peach's Castle Underground
| 00ba |Peach's Castle Underground
| 00b9 |Peach's Castle Underground
| 00c2 |Peach's Castle Garden (Spin Tutorial)
| 00c3 |Peach's Castle Garden (Ball Tutorial)
| 00c4 |Peach's Castle Garden (Spin the babies Tutorial)
| 00c5 |Peach's Castle Garden (crush the babies Tutorial)
| 0080 |Near Hollijolli Village
| 0081 |Near Hollijolli Village
| 0082 |Near Hollijolli Village
| 0083 |Near Hollijolli Village
| 0084 |Hollijolli Village
| 0085 |Hollijolli Village
| 0086 |Hollijolli Village House
| 0087 |Hollijolli Village House
| 0088 |Hollijolli Village House
| 0089 |Hollijolli Village House
| 008a |Hollijolli Village
| 008d |Koopa Cruiser
| 008e |Koopa Cruiser
| 008f |Koopa Cruiser
| 0090 |Koopa Cruiser
| 0241 |Peach's Castle (Past) - castle is attacked cutscene - worth crediting as Hollijolli Village imo
| 00e8 |Bowser's Castle
| 00e9 |Bowser's Castle
| 00ea |Bowser's Castle
| 00eb |Bowser's Castle
| 00ed |Bowser's Castle
| 00ec |Bowser's Castle
| 00ee |Bowser's Castle
| 00ef |Bowser's Castle
| 00f0 |Bowser's Castle
| 00f1 |Bowser's Castle
| 00f2 |Bowser's Castle
| 00f3 |Bowser's Castle
| 00f4 |Bowser's Castle
| 00f5 |Bowser's Castle
| 00f6 |Bowser's Castle
| 00f7 |Bowser's Castle
| 00f8 |Bowser's Castle (Baby Bowser's room)
| 001f |Toadwood Forest
| 0020 |Toadwood Forest
| 0021 |Toadwood Forest
| 0022 |Toadwood Forest
| 0023 |Toadwood Forest
| 0024 |Toadwood Forest
| 0025 |Toadwood Forest
| 0026 |Toadwood Forest
| 0027 |Toadwood Forest
| 0028 |Toadwood Forest
| 0029 |Toadwood Forest
| 002a |Toadwood Forest
| 002b |Toadwood Forest
| 002c |Toadwood Forest
| 002d |Toadwood Forest
| 002e |Vim Factory (technically still on the Toadwood Forest map)
| 003f |Vim Factory
| 0040 |Vim Factory
| 0055 |Vim Factory (Hammer Tutorial)
| 0041 |Vim Factory
| 0042 |Vim Factory
| 0043 |Vim Factory (pipes)
| 0044 |Vim Factory
| 0045 |Vim Factory
| 0046 |Vim Factory (tree)
| 0047 |Vim Factory
| 0048 |Vim Factory
| 0049 |Vim Factory
| 004a |Vim Factory
| 004b |Vim Factory
| 004c |Vim Factory
| 004e |Vim Factory
| 004f |Vim Factory
| 0050 |Vim Factory (boss room)
| 0057 |Yoshi's Island
| 0058 |Yoshi's Island Village
